item,loading,loading_std,theta,R2_item
A1,1.0,0.30425669699217817,0.907427862024648,0.09257213766459005
A2,1.9364403872188243,0.5891749560523923,0.6528728711255913,0.3471271288393386
A3,2.4131205534764377,0.7342080893749089,0.4609384809239504,0.539061518503554
A4,1.057994117005715,0.3219017954565444,0.8963792338905512,0.10362076591814695
A5,2.5229176735644034,0.7676145978604372,0.4107678293121154,0.5892321708484407
C1,1.0,0.6622868099654168,0.5613761814834326,0.4386238186541681
C2,0.9893201628168673,0.6552136946578747,0.5706950144876002,0.42930498566722264
C3,0.9786473424826723,0.6481452265918358,0.5799077652848345,0.4200922347537823
C4,0.8512019711551524,0.5637398381778259,0.6821973948606407,0.31780260514876124
C5,0.6764052500861877,0.44797427537626394,0.7993190486085321,0.20068095139888875
