direction,free_parameters,df,chi2,chi2_p,CFI,TLI,RMSEA,SRMR,AIC_star,BIC_star
forward,21,34,45.138110037532215,0.0959135814287344,0.9357630706759172,0.9149805347181258,0.058113954149834904,0.07823773227708421,87.13811003753221,141.20704058610326
reverse,21,34,45.138110037532215,0.0959135814287344,0.9357630706759172,0.9149805347181258,0.058113954149834904,0.07823773200478149,87.13811003753221,141.20704058610326
zero,20,35,51.252956952632644,0.037461916318566726,0.9062641647859907,0.879482497581988,0.06919047358945048,0.12030581066566709,91.25295695263264,142.7471765227003
