comparison,difference,tukey_p,tukey_ci,games_howell_p,games_howell_ci,games_howell_df
1-0.5,8.790000000000003,1.754763050942909e-05,"[4.901764984021687, 12.678235015978318]",1.9631238841189003e-06,"[5.782181518470922, 11.797818481529085]",17.862444170134182
2-0.5,18.159999999999997,1.6593171281442665e-11,"[14.271764984021681, 22.048235015978314]",1.3359735584472787e-07,"[13.59636403565954, 22.723635964340453]",14.327120273138808
2-1,9.369999999999994,6.606923882102045e-06,"[5.481764984021678, 13.25823501597831]",0.000252579780161466,"[4.871394541075546, 13.868605458924442]",13.599955243977734
